"STATION,""NAME"",""LATITUDE"",""LONGITUDE"",""ELEVATION"",""DATE"",""PRCP"",""SNOW"",""SNWD"",""TAVG"",""TMAX"",""TMIN"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-11"",""0.21"",""0.0"",""0.0"",""51"",""54"",""42"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-12"",""0.11"",""0.0"",""0.0"",""45"",""51"",""41"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-13"",""0.66"",""0.0"",""0.0"",""47"",""53"",""43"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-14"",""1.70"",""0.0"",""0.0"",""49"",""53"",""45"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-15"",""0.12"",""0.0"",""0.0"",""47"",""51"",""43"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-16"",""0.59"",""0.0"",""0.0"",""45"",""47"",""41"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-17"",""0.01"",""0.0"",""0.0"",""46"",""53"",""42"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-18"",""0.00"",""0.0"",""0.0"",""48"",""60"",""41"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-19"",""0.00"",""0.0"",""0.0"",""51"",""62"",""41"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-20"",""0.00"",""0.0"",""0.0"",""53"",""63"",""43"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-21"",""0.03"",""0.0"",""0.0"",""51"",""56"",""45"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-22"",""0.00"",""0.0"",""0.0"",""50"",""59"",""44"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-23"",""0.00"",""0.0"",""0.0"",""53"",""69"",""41"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-24"",""0.00"",""0.0"",""0.0"",""63"",""77"",""49"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-25"",""0.00"",""0.0"",""0.0"",""63"",""75"",""51"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-26"",""0.00"",""0.0"",""0.0"",""65"",""82"",""51"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-27"",""0.01"",""0.0"",""0.0"",""58"",""58"",""49"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-28"",""0.31"",""0.0"",""0.0"",""51"",""55"",""47"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-29"",""0.00"",""0.0"",""0.0"",""52"",""61"",""46"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-04-30"",""0.00"",""0.0"",""0.0"",""51"",""59"",""47"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-01"",""0.00"",""0.0"",""0.0"",""52"",""62"",""48"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-02"",""0.00"",""0.0"",""0.0"",""55"",""70"",""45"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-05-03"",""0.00"",""0.0"",""0.0"",""61"",""74"",""50"""
